0.1	5.0210E-04   	6.4820E-04	6.5795E-04	6.1804E-04	7.6530E-04	8.2919E-04
0.2	5.7426E-04	4.7203E-04	6.0765E-04	6.0765E-04	7.9788E-04	8.0582E-04
0.3	5.3524E-04	4.3992E-04	5.9173E-04	6.3831E-04	8.9562E-04	8.4440E-04	
0.4	4.9828E-04	5.1214E-04	5.8632E-04	6.5795E-04	9.7721E-04	9.1670E-04 	
0.5	4.9700E-04	4.9700E-04	5.8849E-04	6.6756E-04	9.4407E-04	9.4407E-04
0.6	4.9572E-04	4.5135E-04	5.8415E-04	6.4820E-04	9.1670E-04	9.2155E-04
0.7	5.0083E-04	4.5135E-04	5.8087E-04	6.4328E-04	8.6672E-04	8.7404E-04
0.8	5.0210E-04	4.4852E-04	5.7536E-04	6.1804E-04	7.9788E-04	8.1369E-04
0.9	4.9955E-04	4.2967E-04	5.5048E-04	5.7536E-04	7.4422E-04	7.4840E-04
1	5.2321E-04	4.0370E-04	5.6306E-04	5.5279E-04	7.0467E-04	7.1365E-04
1.1	6.4820E-04	5.2321E-04	6.6660E-04	6.4328E-04	7.5694E-04	8.0582E-04
1.2	5.4816E-04	5.4932E-04	6.0765E-04	6.3831E-04	7.6530E-04	7.9788E-04	
1.3	4.9828E-04	5.2442E-04	5.6079E-04	6.0450E-04	8.5191E-04	8.3683E-04
1.4	4.9955E-04	4.4852E-04	5.4932E-04	6.4525E-04	9.4407E-04	9.0270E-04
1.5	5.0045E-04	5.4700E-04	5.6079E-04	6.6469E-04	9.5746E-04	9.1670E-04
1.6	5.2199E-04	4.9662E-04	5.8524E-04	6.7231E-04	9.3049E-04	9.0270E-04
1.7	5.2296E-04	4.4923E-04	6.1804E-04	6.6277E-04	8.7404E-04	8.6672E-04
1.8	5.2077E-04	4.4639E-04	6.1494E-04	6.5310E-04	8.2147E-04	8.2147E-04
1.9	5.1954E-04	4.4021E-04	5.9065E-04	6.0765E-04	7.5694E-04	7.5694E-04
2.0	5.3166E-04	4.1151E-04	5.9280E-04	5.6419E-04	7.1365E-04	7.2691E-04












