1.984764		1.6530E-04
0.064764		1.5681E-04
0.144764		0.0013
0.224764		9.8833E-04
0.304764		7.5296E-04
0.384764		6.7144E-04
0.464764		6.7650E-04
0.544764		5.1614E-04
0.624764		4.2142E-04
0.704764		3.6961E-04
0.784764		3.3059E-04
0.864764		2.8632E-04
0.944764		2.0245E-04
1.024764		1.6530E-04
1.104764		0.0014
1.184764		0.0011
1.264764		6.4019E-04
1.344764		6.5077E-04
1.424764		6.7144E-04
1.504764		6.5600E-04
1.584764		5.4822E-04
1.664764		4.0753E-04
1.744764		3.6961E-04
1.824764		3.0924E-04
1.904764		2.7411E-04		


