1	5.9138E-04	1.6530E-04	4.6016E-04	2.8360E-04	5.0948E-04	5.5071E-04	3.8765E-04	5.3562E-04
2	5.3562E-04	1.5681E-04	4.0489E-04	2.4794E-04	4.2142E-04	5.4196E-04	4.3733E-04	5.2009E-04
3	4.8192E-04	1.8481E-04    																
4	3.8765E-04	
5	3.2009E-04	
6	2.8603E-04	
7	1.6503E-04	
8	1.8481E-04	
9	1.6938E-04	
10	1.4785E-04	
11	1.2259E-04	
12	1.0454E-04	
13	1.4315E-04	
14	2.0908E-04	
15	2.2483E-04	
16	2.4794E-04	
17	2.6653E-04	
18	2.8391E-04	
19	2.9799E-04	
20	3.1795E-04	
21	3.3059E-04	
22	3.4077E-04	
23	3.5065E-04	
24	5.2140E-04	
25	6.6118E-04	







