0.416897	5.9138E-04
0.496897	5.3562E-04
0.576897	4.8192E-04
0.656897	3.8765E-04
0.736897	3.2009E-04
0.816897	2.8603E-04
0.896897	1.6503E-04
0.976897	1.8481E-04
1.056897	1.6938E-04
1.136897	7.5387E-04
1.216897	8.2648E-04
1.296897	6.5077E-04
1.376897	5.3562E-04
1.456897	4.9589E-04
1.536897	4.3733E-04
1.616897	3.0924E-04
1.696897	2.6653E-04
1.776897	2.8391E-04
1.856897	2.9799E-04
1.936897	3.1795E-04
0.016897	1.1688E-04
0.096897	5.8580E-04
0.176897	9.6383E-04
0.256897	5.2140E-04
0.336897	6.6118E-04		


